Task ID,Gender,Ethnicity,Hair,Hair Style,Eye Color,Facial Features,Age,Personality,Skills And Abilities,Work Style,Professional Traits,Background Indicators,Clothing Style,Accessories
9bfa4688-df66-4ee5-9d5d-d23fe6223f09,Woman,Middle Eastern,Red,Long,Green,Clean-shaven,Middle-aged (40s),Playful,Athletic,Multitasking,Diplomatic,Multicultural and Self-taught,Business formal,Glasses
13bbdc89-ef2c-4887-9ac3-db1b87645b4a,Man,South Asian,Platinum,Braided,Grey,Mole and Freckles,Senior (70+),Mysterious,Athletic,Goal-driven,Resourceful and Methodical,Research-oriented and Entrepreneurial,Uniform,Jewelry
1011a9cb-11ac-409c-947a-9b5df59646eb,Woman,Hispanic,Brown,Afro,Brown,Dimples and Glasses,Elderly,Compassionate,Creative,Team-oriented and Collaborative,Reliable,Bilingual and Multicultural,Uniform,Jewelry
ab7f9a51-cbfc-4c48-ab69-b56dff7cb5e0,Man,East Asian,Grey,Long,Green,Dimples and Mustache,Ageless,Ambitious,Tech-savvy and Communicative,Collaborative and Customer-focused,Methodical,Educated and Multicultural,Avant-garde,Scarf
355db465-93be-4892-b9a9-6c16bd00a98c,Man,Hispanic,Salt-and-pepper,Mohawk,Black,Mustache,Mature adult,Energetic,Analytical,Detail-oriented and Customer-focused,Resourceful and Innovative,Research-oriented,Casual,Hat
dddb3b84-19a2-4954-a4a9-02f03cda2dfc,Man,African,Multi-colored,Long,Grey,Clean-shaven,Ageless,Shy and Friendly,Creative,Collaborative and Team-oriented,Specialized,Entrepreneurial and Bilingual,Business casual,Jewelry
e0fbb2fc-11b3-480c-a411-29f37a9b2824,Man,Middle Eastern,Brown,Afro,Hazel,Piercing,Mature adult,Relaxed,Artistic,Goal-driven and Structured,Specialized and Adaptable,Multicultural,Business formal,Tie
a9854c62-a378-4569-812c-a25205ac1b63,Woman,East Asian,Black,Short,Brown,Dimples and Freckles,Middle-aged (40s),Relaxed,Communicative,Independent and Detail-oriented,Resourceful and Adaptable,Self-taught and Interdisciplinary,Business casual,Tie
6320a1f5-59c5-4cab-bf06-0e42f9f9b285,Woman,South Asian,Red,Mohawk,Violet,Dimples,Senior (70+),Energetic and Shy,Artistic and Empathetic,Customer-focused and Multitasking,Strategic,Well-traveled,Sporty,Tie
640414bf-9502-4d5f-a9bd-0f9b77fbb96e,Man,African,Grey,Curly,Black,Glasses,Young (20s),Relaxed,Musical and Analytical,Goal-driven,Strategic and Visionary,Entrepreneurial,Casual,Earrings
347cb21a-4261-4409-805f-d649c698494c,Man,South Asian,Brown,Layered,Brown,Clean-shaven,Middle-aged (40s),Shy and Serious,Empathetic,Multitasking,Specialized,Educated,Vintage,Briefcase
c5ca6bac-e3aa-4b21-be00-691df6818f7b,Woman,Hispanic,Salt-and-pepper,Braided,Grey,Mole,Young (20s),Confident,Tech-savvy and Communicative,Collaborative,Innovative and Experienced,Interdisciplinary and Tech-educated,Bohemian,Glasses
bd829d3d-b503-4abe-8b62-e218d99363c5,Woman,Caucasian,Grey,Mohawk,Violet,Mole,Mature adult,Shy,Athletic and Analytical,Structured and Detail-oriented,Visionary,Certified and Bilingual,Casual,Earrings
226e5c34-f26d-4369-a517-ba606b7725cd,Man,East Asian,Auburn,Curly,Grey,Beard,Middle-aged (40s),Relaxed and Confident,Artistic,Detail-oriented,Innovative and Specialized,Tech-educated,Trendy,Hat
edd5d2c8-9dab-435c-898e-38fa61861cbd,Woman,African,Blonde,Long,Grey,Freckles and Mole,Ageless,Relaxed and Serious,Artistic,Detail-oriented and Innovative,Experienced,Entrepreneurial and Educated,Casual,Jewelry
02040379-b3fa-4da6-8e5b-53349f93f1dc,Man,South Asian,White,Afro,Amber,Freckles and Dimples,Older (60+),Serious and Ambitious,Tech-savvy,Flexible and Detail-oriented,Experienced,Bilingual and Entrepreneurial,Vintage,Jewelry
b1ec4fc6-6133-421e-b2ad-d6576a95f1e5,Man,Southeast Asian,Black,Braided,Amber,Mole and Dimples,Young adult,Serious,Musical,Detail-oriented,Experienced,Entrepreneurial and Well-traveled,Trendy,Scarf
a23c6ef0-c344-479e-b335-0b8a633515b7,Woman,Middle Eastern,Salt-and-pepper,Straight,Grey,Piercing,Ageless,Confident,Communicative and Logical,Goal-driven,Reliable and Adaptable,Educated,Vintage,Briefcase
a5f54c88-aed8-4c34-80a5-d3268bfe86f2,Man,Hispanic,Grey,Afro,Red,Freckles and Clean-shaven,Mature adult,Serious,Analytical,Innovative,Specialized,Research-oriented and Multicultural,Business casual,Jewelry
d92d45f8-ba63-4e29-bf9d-534dc014f813,Man,Caucasian,Multi-colored,Dreadlocks,Amber,Beard,Older (60+),Mysterious,Tech-savvy and Empathetic,Independent and Multitasking,Visionary and Diplomatic,Research-oriented and Multicultural,Uniform,Briefcase
fde4924b-a09e-4028-abd5-8af93bd5d1cb,Woman,Pacific Islander,Black,Long,Green,Freckles,Older (60+),Relaxed and Shy,Logical,Flexible,Resourceful and Strategic,Tech-educated and Educated,Bohemian,Hat
ee7fc579-565a-4fdc-bbed-334c72fefdfa,Woman,Pacific Islander,Blonde,Curly,Emerald,Mole,Elderly,Compassionate and Confident,Logical and Musical,Multitasking and Goal-driven,Strategic,Self-taught and Bilingual,Avant-garde,Watch
f0b7cc2c-68d9-4bdd-8afa-64f8b31bf673,Woman,Middle Eastern,Salt-and-pepper,Curly,Black,Clean-shaven,Ageless,Shy and Ambitious,Logical,Independent,Adaptable and Resourceful,Tech-educated and Educated,Casual,Briefcase
e5080e50-ecf9-4e4d-a75e-da7bf2ad5360,Woman,East Asian,Grey,Short,Brown,Freckles,Ageless,Mysterious and Confident,Artistic and Logical,Flexible,Resourceful,Interdisciplinary,Uniform,Backpack
40fc3d1c-492a-4367-8871-543204ef4a04,Man,East Asian,Blonde,Mohawk,Red,Mole,Elderly,Compassionate and Energetic,Analytical,Multitasking,Methodical,Bilingual,Minimalist,Hat
80630653-a7fc-40ad-b8ff-b2953ffbe275,Man,Caucasian,White,Curly,Green,Freckles and Beard,Senior (70+),Confident,Musical,Detail-oriented and Customer-focused,Strategic,Certified and Entrepreneurial,Business casual,Scarf
bad26a9d-ed9b-4216-8802-272b13b1aa8d,Woman,Caucasian,Auburn,Long,Emerald,Dimples and Mole,Senior (70+),Mysterious and Shy,Leadership and Empathetic,Collaborative and Innovative,Visionary and Resourceful,Well-traveled and Interdisciplinary,Sporty,Headphones
f371a4d9-648b-41a3-929e-2c40ce23984c,Man,Middle Eastern,Auburn,Bun,Brown,Glasses and Clean-shaven,Young (20s),Playful and Mysterious,Logical,Structured and Team-oriented,Experienced and Specialized,Tech-educated,Uniform,Glasses
1c6ab86a-ea54-4cbe-8951-a8da19492295,Man,Southeast Asian,White,Straight,Red,Piercing and Mustache,Mature adult,Relaxed,Empathetic and Creative,Customer-focused and Structured,Specialized and Reliable,Multicultural and Well-traveled,Business casual,Briefcase
21dbcd63-022e-4247-bcfc-26d76d582f17,Man,Caucasian,Blonde,Mohawk,Hazel,Mustache and Freckles,Older (60+),Mysterious,Athletic,Collaborative and Innovative,Diplomatic and Strategic,Research-oriented and Interdisciplinary,Business formal,Backpack
1f3ff6e6-56d9-43df-862c-067b50b841a1,Woman,Southeast Asian,Salt-and-pepper,Mohawk,Violet,Glasses,Older (60+),Confident and Energetic,Empathetic,Collaborative and Multitasking,Strategic,Entrepreneurial,Avant-garde,Tie
f229f1f1-74cb-4b38-972a-81f9bff37793,Man,African,Auburn,Bun,Red,Glasses and Dimples,Young adult,Shy,Athletic and Analytical,Team-oriented and Flexible,Reliable and Strategic,Entrepreneurial,Sporty,Earrings
e61d1451-14b7-4842-8c11-9de6a8f7c01f,Woman,Middle Eastern,Black,Short,Emerald,Mole and Freckles,Senior (70+),Energetic and Compassionate,Analytical and Musical,Flexible,Diplomatic,Interdisciplinary and Self-taught,Avant-garde,Glasses
0763b11c-8db8-421e-8938-f43a11e44167,Woman,Southeast Asian,Auburn,Curly,Brown,Clean-shaven and Freckles,Young (20s),Shy,Musical,Flexible,Adaptable and Innovative,Entrepreneurial,Trendy,Scarf
05383fec-0bc3-4982-a1ea-4d1ada63f989,Man,Hispanic,Auburn,Bun,Violet,Beard and Freckles,Mature adult,Energetic,Logical and Empathetic,Goal-driven,Resourceful and Experienced,Educated,Bohemian,Jewelry
ca8400b9-07a0-4df6-a155-93d0efbf1cf7,Man,Middle Eastern,Red,Afro,Hazel,Piercing and Beard,Young adult,Ambitious and Mysterious,Communicative,Collaborative,Innovative and Specialized,Multicultural and Entrepreneurial,Avant-garde,Glasses
d0c65ad5-6bbf-4b49-b37f-2a30d3dd00d0,Man,Pacific Islander,Brown,Mohawk,Red,Glasses and Freckles,Ageless,Compassionate,Musical and Creative,Multitasking,Specialized,Multicultural,Business formal,Jewelry
8f3cd469-0ef2-4861-9fa1-df8847b0030d,Man,Middle Eastern,Red,Bun,Black,Dimples,Older (60+),Ambitious and Friendly,Creative and Musical,Collaborative and Innovative,Adaptable,Multicultural and Research-oriented,Vintage,Hat
db636edd-2d75-4d68-a111-f5e56db1f897,Woman,African,Salt-and-pepper,Long,Violet,Piercing,Young (20s),Mysterious,Communicative,Independent and Structured,Strategic and Resourceful,Educated and Research-oriented,Vintage,Backpack
afb2bc26-9379-4975-857f-e935970d8af7,Woman,East Asian,Salt-and-pepper,Short,Blue,Freckles and Dimples,Young (20s),Energetic and Mysterious,Tech-savvy and Creative,Structured,Diplomatic and Visionary,Self-taught and Well-traveled,Business formal,Scarf
464df359-63c9-4ff7-b179-1f68df2ec1a0,Man,East Asian,Black,Short,Green,Mole and Piercing,Elderly,Relaxed and Mysterious,Creative,Detail-oriented,Diplomatic,Self-taught and Certified,Trendy,Scarf
91e64358-2d7a-4fe5-871b-41957830421f,Man,Southeast Asian,Salt-and-pepper,Layered,Red,Mustache and Freckles,Elderly,Serious,Musical and Tech-savvy,Independent,Reliable and Visionary,Educated,Business casual,Hat
79e18cf3-3f92-4f0d-898f-1f39fd53c9e5,Man,African,Multi-colored,Short,Brown,Mole,Middle-aged (40s),Mysterious and Energetic,Creative,Structured,Resourceful and Visionary,Tech-educated and Self-taught,Minimalist,Earrings
60213da6-875b-4f0d-80ec-9d5032667a8e,Woman,Middle Eastern,Multi-colored,Layered,Amber,Clean-shaven,Young (20s),Mysterious and Serious,Communicative,Team-oriented,Diplomatic,Well-traveled and Tech-educated,Minimalist,Scarf
d6bcad8b-bd22-441f-b1f4-25457b02e7ba,Man,Pacific Islander,White,Curly,Hazel,Mole,Elderly,Mysterious,Logical and Leadership,Innovative and Collaborative,Diplomatic,Well-traveled and Interdisciplinary,Vintage,Hat
dea5dbff-d620-41bc-9f40-908e5d2054a8,Woman,African,Blonde,Long,Hazel,Mole and Glasses,Senior (70+),Shy,Empathetic and Logical,Collaborative,Visionary and Innovative,Self-taught,Sporty,Scarf
5e57481e-8f59-4e3f-934b-1db9fc657e83,Man,Asian,Auburn,Short,Red,Mustache,Young (20s),Friendly and Mysterious,Analytical and Empathetic,Customer-focused,Visionary and Strategic,Entrepreneurial,Sporty,Jewelry
44c2cd1c-99e8-45f1-8cb7-c2bfd40cb240,Man,African,Grey,Short,Brown,Dimples and Mustache,Elderly,Playful,Leadership,Team-oriented,Strategic,Certified and Interdisciplinary,Sporty,Headphones
ce270571-2bd7-4f1e-809b-ead6f607d6a1,Man,Southeast Asian,Black,Dreadlocks,Grey,Piercing,Senior (70+),Relaxed,Athletic,Flexible,Experienced,Self-taught and Certified,Trendy,Tie
43c7e434-910e-4f55-b4fd-11c9f4a8d00c,Man,Middle Eastern,Blonde,Mohawk,Brown,Dimples and Beard,Elderly,Mysterious and Compassionate,Communicative,Collaborative and Structured,Adaptable,Educated,Casual,Glasses
3a522701-9430-4b63-928d-7cf69a5c5845,Woman,African,Salt-and-pepper,Dreadlocks,Brown,Piercing,Young (20s),Ambitious,Leadership,Innovative,Reliable and Visionary,Multicultural,Avant-garde,Headphones
5969c0c7-b688-44bf-894d-0beacb617ef3,Woman,African,Black,Braided,Amber,Freckles,Middle-aged (40s),Compassionate and Serious,Musical and Logical,Team-oriented,Strategic,Self-taught and Educated,Business casual,Watch
b922e3bd-60e9-4e01-b9b9-f2d3aa345347,Man,Middle Eastern,Grey,Straight,Red,Beard and Freckles,Middle-aged (40s),Shy and Serious,Analytical,Innovative,Specialized and Resourceful,Certified,Trendy,Backpack
15d6b741-ccfe-4792-b429-24c49140cdf2,Man,Asian,Auburn,Braided,Hazel,Glasses and Clean-shaven,Older (60+),Confident and Compassionate,Logical and Leadership,Team-oriented and Structured,Resourceful and Adaptable,Well-traveled and Educated,Vintage,Scarf
b99f0649-a8ba-466d-8b34-8a7d9f7bdda7,Man,East Asian,Salt-and-pepper,Straight,Black,Beard,Young (20s),Energetic and Friendly,Logical,Multitasking,Strategic and Visionary,Multicultural,Bohemian,Tie
0caa1e82-a41c-42f1-9b00-39381aa164ad,Woman,East Asian,Multi-colored,Afro,Violet,Dimples,Older (60+),Friendly and Playful,Communicative and Artistic,Team-oriented and Multitasking,Experienced,Multicultural and Educated,Trendy,Tie
5b1dc41f-dea6-4498-ba64-618ed586fc12,Man,Hispanic,Blonde,Dreadlocks,Green,Freckles and Glasses,Mature adult,Serious and Shy,Tech-savvy,Structured and Customer-focused,Strategic,Self-taught and Tech-educated,Vintage,Briefcase
60199d0c-4cf9-4bd8-9958-cc09bfc092a2,Woman,East Asian,White,Braided,Hazel,Dimples,Senior (70+),Playful and Friendly,Communicative,Detail-oriented,Resourceful and Diplomatic,Interdisciplinary and Entrepreneurial,Vintage,Earrings
b56bbbf7-3ff6-4cfa-ba59-563fa19a4dd1,Man,Asian,Auburn,Braided,Emerald,Beard and Freckles,Mature adult,Serious and Compassionate,Leadership,Flexible,Visionary,Well-traveled and Bilingual,Minimalist,Backpack
c78ab0f1-dc01-4f32-a4e1-bc18cbc5c41e,Woman,Hispanic,White,Layered,Violet,Mole and Freckles,Ageless,Energetic and Mysterious,Tech-savvy and Logical,Innovative and Flexible,Adaptable and Innovative,Research-oriented and Well-traveled,Business casual,Watch
007ab7cb-b4cd-411c-9747-6aefec327729,Woman,Hispanic,Platinum,Curly,Hazel,Glasses and Dimples,Mature adult,Mysterious and Friendly,Empathetic,Independent,Diplomatic and Resourceful,Entrepreneurial,Sporty,Glasses
d92ce725-56ed-47ec-b559-3d61ea21504c,Woman,South Asian,Platinum,Long,Violet,Glasses,Senior (70+),Relaxed and Serious,Leadership,Independent,Visionary,Well-traveled and Entrepreneurial,Avant-garde,Headphones
6520f061-8ed3-4cc6-9412-c06385652479,Woman,Asian,Platinum,Layered,Blue,Piercing and Dimples,Ageless,Shy,Communicative,Team-oriented,Innovative and Strategic,Educated and Research-oriented,Avant-garde,Scarf
035ab9a8-f0c4-4765-99b1-1423036ae407,Woman,Hispanic,Red,Curly,Amber,Piercing and Clean-shaven,Elderly,Serious and Relaxed,Athletic,Innovative and Goal-driven,Diplomatic and Specialized,Interdisciplinary,Bohemian,Headphones
d1a0e9d0-ce36-47c8-8df7-b791f3a1d8af,Woman,Southeast Asian,White,Mohawk,Hazel,Mole,Ageless,Mysterious,Athletic,Detail-oriented,Adaptable,Research-oriented and Multicultural,Business formal,Backpack
5683615b-8655-458b-84fe-ed79c10d8043,Woman,Southeast Asian,Black,Short,Grey,Dimples and Freckles,Older (60+),Friendly and Shy,Musical and Creative,Structured,Methodical,Self-taught and Interdisciplinary,Uniform,Tie
d90611d6-f488-481c-ae2c-2954e816bb7e,Woman,African,Red,Bun,Blue,Mole,Older (60+),Ambitious,Empathetic and Logical,Collaborative and Multitasking,Adaptable,Multicultural and Educated,Trendy,Backpack
332cda9e-252b-4b9b-9836-546eebdf2413,Man,African,Grey,Bun,Hazel,Beard and Piercing,Mature adult,Confident and Compassionate,Empathetic and Artistic,Innovative,Resourceful,Educated,Uniform,Backpack
40d183de-10d9-45a7-89d8-7988a02c40fb,Woman,East Asian,Auburn,Dreadlocks,Hazel,Freckles and Piercing,Young (20s),Mysterious and Relaxed,Analytical and Athletic,Team-oriented and Customer-focused,Reliable,Interdisciplinary,Avant-garde,Glasses
f646a95b-646e-476e-af22-fdd448466777,Man,East Asian,Blonde,Dreadlocks,Red,Beard and Dimples,Young (20s),Energetic,Artistic,Multitasking,Visionary,Interdisciplinary,Bohemian,Watch
11222699-2469-4ca1-ae1a-8a2bf6e6bc6c,Man,Asian,White,Layered,Green,Mole,Young (20s),Mysterious,Musical,Goal-driven,Resourceful and Strategic,Bilingual and Certified,Casual,Jewelry
479b2ee6-ebb6-4b8a-9b6d-436eca0251e2,Man,Hispanic,Platinum,Short,Violet,Glasses,Elderly,Confident,Empathetic and Communicative,Detail-oriented,Adaptable,Research-oriented and Well-traveled,Bohemian,Backpack
9abcc405-6cfe-4155-8787-8af763db4cc9,Woman,African,Multi-colored,Braided,Emerald,Freckles and Piercing,Ageless,Confident,Musical and Logical,Customer-focused,Experienced and Visionary,Tech-educated and Entrepreneurial,Minimalist,Jewelry
c3d007b3-7f7c-4955-bb6e-083090712011,Woman,Hispanic,Platinum,Mohawk,Amber,Clean-shaven and Freckles,Senior (70+),Playful and Friendly,Empathetic,Customer-focused,Diplomatic and Visionary,Educated and Entrepreneurial,Sporty,Hat
95b7d48d-565e-46ad-ae0f-6ad73560b166,Woman,Southeast Asian,Auburn,Short,Amber,Mole,Senior (70+),Serious,Musical,Flexible,Adaptable and Strategic,Research-oriented,Business formal,Glasses
566850ff-5227-4850-a435-356cb5afe449,Woman,Asian,Platinum,Braided,Grey,Clean-shaven,Senior (70+),Shy,Communicative and Leadership,Structured,Visionary,Bilingual,Trendy,Scarf
d7ca2102-ec73-41f3-9ecf-ec6f56a32ee7,Woman,South Asian,Multi-colored,Bun,Amber,Mole,Middle-aged (40s),Energetic,Leadership and Analytical,Multitasking and Structured,Visionary and Strategic,Educated and Certified,Business casual,Headphones
2fea5e51-2e42-41a6-9a9e-7cb9b45d6c34,Woman,East Asian,Grey,Bun,Red,Glasses,Young (20s),Serious,Artistic,Goal-driven and Independent,Experienced and Visionary,Multicultural and Educated,Uniform,Earrings
f6f985e9-86c0-47e6-9967-03b6c1229a9f,Woman,Pacific Islander,Platinum,Straight,Red,Piercing and Glasses,Mature adult,Friendly,Musical,Team-oriented,Adaptable and Visionary,Interdisciplinary and Entrepreneurial,Bohemian,Earrings
f25e7b0e-a9d4-4946-a811-310dc1946434,Man,Asian,Brown,Mohawk,Blue,Glasses,Middle-aged (40s),Serious and Energetic,Tech-savvy,Independent,Adaptable,Educated and Self-taught,Minimalist,Briefcase
511d4f05-0e48-4ebb-ba5a-a28542f7f06b,Woman,Southeast Asian,Blonde,Mohawk,Emerald,Clean-shaven and Freckles,Elderly,Relaxed and Compassionate,Analytical,Independent and Customer-focused,Reliable and Methodical,Certified and Well-traveled,Sporty,Tie
fad11d99-08c6-4d76-aab5-3c6fa5cb0ddd,Woman,Hispanic,Salt-and-pepper,Short,Amber,Freckles and Glasses,Older (60+),Mysterious,Athletic and Artistic,Team-oriented and Flexible,Experienced and Methodical,Research-oriented and Entrepreneurial,Vintage,Briefcase
2fae2328-8e5d-49f7-ad80-bab95ebc631d,Woman,African,Grey,Long,Blue,Glasses and Clean-shaven,Senior (70+),Serious,Leadership,Detail-oriented and Goal-driven,Resourceful,Self-taught,Casual,Earrings
503b1285-4af6-4867-8523-48e7076d796b,Man,Caucasian,Grey,Long,Brown,Dimples,Middle-aged (40s),Relaxed,Logical and Tech-savvy,Independent,Visionary and Methodical,Well-traveled and Entrepreneurial,Minimalist,Watch
49946581-e7f2-4c0e-97b1-a20d582deb44,Woman,Southeast Asian,White,Bun,Green,Dimples and Glasses,Young adult,Shy,Leadership,Flexible and Goal-driven,Reliable and Adaptable,Certified and Educated,Business casual,Scarf
4abf417d-1dec-4293-85b2-865e3859bbb5,Man,Hispanic,Grey,Short,Blue,Clean-shaven,Young (20s),Mysterious and Playful,Communicative and Musical,Collaborative and Goal-driven,Adaptable,Research-oriented,Vintage,Tie
242649e2-843c-459a-9515-1f57adf2395c,Man,South Asian,Red,Short,Violet,Piercing,Young adult,Ambitious and Mysterious,Artistic,Flexible,Reliable and Specialized,Educated,Sporty,Tie
9a631121-6f17-4fa2-a30c-0e4d8ea8b1e9,Woman,Middle Eastern,Salt-and-pepper,Braided,Violet,Clean-shaven and Piercing,Elderly,Relaxed and Playful,Tech-savvy and Artistic,Team-oriented,Resourceful,Research-oriented and Entrepreneurial,Minimalist,Headphones
e871137e-7755-443a-965c-da99be7f63d6,Man,Middle Eastern,Grey,Short,Brown,Clean-shaven,Young (20s),Relaxed,Communicative and Analytical,Collaborative,Reliable,Interdisciplinary and Bilingual,Trendy,Tie
0e5a48c1-8231-4ba4-b986-700bef4f79a3,Woman,Hispanic,Blonde,Straight,Hazel,Dimples,Elderly,Compassionate and Shy,Empathetic,Goal-driven,Visionary,Research-oriented and Interdisciplinary,Trendy,Watch
014d9ebd-e9e1-45ed-83a8-ed7222a5f348,Man,Middle Eastern,Multi-colored,Straight,Blue,Dimples,Senior (70+),Shy,Logical and Artistic,Structured and Innovative,Visionary,Tech-educated,Business casual,Scarf
88bffdf4-380c-4341-8726-58124fbaf1cb,Man,South Asian,Black,Short,Brown,Mole,Older (60+),Ambitious and Friendly,Analytical and Athletic,Team-oriented and Collaborative,Diplomatic,Entrepreneurial and Research-oriented,Business formal,Tie
11a65a6a-c7ad-4bdb-b1e3-372a6d3756d5,Woman,South Asian,Platinum,Long,Violet,Freckles,Ageless,Relaxed,Athletic,Independent and Team-oriented,Resourceful,Tech-educated and Multicultural,Avant-garde,Watch
7c3dcc1b-b3aa-4202-8a38-3ee239b39647,Man,Asian,Platinum,Braided,Amber,Mustache and Piercing,Mature adult,Ambitious,Musical,Multitasking,Adaptable and Visionary,Tech-educated,Vintage,Tie
312b2a6b-5c22-4e56-8184-fa7b1924f02f,Woman,Asian,Salt-and-pepper,Curly,Brown,Glasses and Mole,Young (20s),Compassionate,Tech-savvy,Detail-oriented and Structured,Innovative and Methodical,Self-taught,Vintage,Briefcase
016e03de-b2a1-421e-be2c-a2b2ecebb55c,Woman,Caucasian,White,Curly,Black,Clean-shaven and Freckles,Older (60+),Shy and Serious,Creative and Leadership,Multitasking,Innovative,Research-oriented and Self-taught,Bohemian,Briefcase
d7dc39db-5c19-4526-9220-a403178df852,Man,Pacific Islander,Red,Curly,Violet,Clean-shaven,Ageless,Friendly and Confident,Artistic and Empathetic,Structured and Customer-focused,Diplomatic and Experienced,Research-oriented and Interdisciplinary,Minimalist,Tie
933d0209-f7cf-47a6-8f5a-cafc51cb53a8,Man,Southeast Asian,Black,Dreadlocks,Grey,Mustache and Dimples,Ageless,Confident,Creative and Musical,Customer-focused and Innovative,Specialized,Tech-educated and Self-taught,Trendy,Tie
3ac706bf-54b6-4f54-bb3b-d02f2ef3ecf1,Woman,South Asian,Red,Long,Black,Freckles,Senior (70+),Relaxed,Empathetic,Innovative,Diplomatic,Entrepreneurial and Tech-educated,Uniform,Briefcase
846a6b6d-950a-4ff4-8b1c-4cd3aad46917,Woman,Asian,Multi-colored,Dreadlocks,Black,Piercing and Dimples,Middle-aged (40s),Ambitious,Artistic,Team-oriented and Detail-oriented,Methodical,Entrepreneurial and Research-oriented,Bohemian,Earrings